"Country","Sex","Cause","Year","Value"
"Austria","Male","Diseases of the respiratory system",1988,94.5
"Austria","Male","Diseases of the respiratory system",1987,106.1
"Austria","Male","Diseases of the respiratory system",1986,113.5
"Austria","Male","Diseases of the respiratory system",1985,131.8
"Austria","Male","Diseases of the respiratory system",1984,114.6
"Austria","Male","Diseases of the respiratory system",1983,133.3
"Austria","Male","Diseases of the respiratory system",1982,120.7
"Austria","Male","Diseases of the respiratory system",1981,131.3
"Austria","Male","Diseases of the respiratory system",1980,121.9
"Austria","Male","Diseases of the respiratory system",1979,113.3
"Austria","Male","Diseases of the respiratory system",1978,139.7
"Austria","Male","Diseases of the respiratory system",1977,129.7
"Austria","Male","Diseases of the respiratory system",1976,165.8
"Austria","Male","Diseases of the respiratory system",1975,175.7
"Austria","Male","Diseases of the respiratory system",1974,146.9
"Austria","Male","Diseases of the respiratory system",1973,151
"Austria","Male","Diseases of the respiratory system",1972,137.4
"Austria","Male","Diseases of the respiratory system",1971,168.4
"Austria","Male","Diseases of the respiratory system",1970,218.8
"Austria","Male","Diseases of the respiratory system",1969,239.5
"Austria","Male","Diseases of the respiratory system",1968,200.6
"Austria","Male","Diseases of the respiratory system",1967,197.7
"Austria","Male","Diseases of the respiratory system",1966,178.4
"Austria","Male","Diseases of the respiratory system",1965,197.6
"Austria","Male","Diseases of the respiratory system",1964,154.9
"Austria","Male","Diseases of the respiratory system",1963,217
"Austria","Male","Diseases of the respiratory system",1962,189.4
"Austria","Male","Diseases of the respiratory system",1961,138
"Austria","Male","Diseases of the respiratory system",1960,209.3
"Austria","Male","Diseases of the respiratory system",2021,46.9
"Austria","Male","Diseases of the respiratory system",2020,58.4
"Austria","Male","Diseases of the respiratory system",2019,63.8
"Austria","Male","Diseases of the respiratory system",2018,68.7
"Austria","Male","Diseases of the respiratory system",2017,66.4
"Austria","Male","Diseases of the respiratory system",2016,58.4
"Austria","Male","Diseases of the respiratory system",2015,62.5
"Austria","Male","Diseases of the respiratory system",2014,55
"Austria","Male","Diseases of the respiratory system",2013,58.8
"Austria","Male","Diseases of the respiratory system",2012,60.3
"Austria","Male","Diseases of the respiratory system",2011,63.5
"Austria","Male","Diseases of the respiratory system",2010,66.5
"Austria","Male","Diseases of the respiratory system",2009,68.8
"Austria","Male","Diseases of the respiratory system",2008,69.5
"Austria","Male","Diseases of the respiratory system",2007,80.6
"Austria","Male","Diseases of the respiratory system",2006,80.1
"Austria","Male","Diseases of the respiratory system",2005,88.5
"Austria","Male","Diseases of the respiratory system",2004,90
"Austria","Male","Diseases of the respiratory system",2003,102.2
"Austria","Male","Diseases of the respiratory system",2002,82.6
"Austria","Total","Diseases of the respiratory system",1962,143.2
