"Country","Sex","Cause","Year","Value"
"Slovak Republic","Female","Codes for special purposes: COVID-19",2020,56
"Slovak Republic","Total","Codes for special purposes: COVID-19",2021,270
"Slovak Republic","Total","Codes for special purposes: COVID-19",2020,72.3
"Slovak Republic","Male","Codes for special purposes: COVID-19",2021,357.8
"Slovak Republic","Male","Codes for special purposes: COVID-19",2020,98.7
"Slovenia","Male","Codes for special purposes: COVID-19",2020,162.8
"Slovenia","Female","Codes for special purposes: COVID-19",2020,105.4
"Slovenia","Total","Codes for special purposes: COVID-19",2020,128
"Spain","Male","Codes for special purposes: COVID-19",2021,88.7
"Spain","Male","Codes for special purposes: COVID-19",2020,153.7
"Spain","Total","Codes for special purposes: COVID-19",2021,62.9
"Spain","Total","Codes for special purposes: COVID-19",2020,115.2
"Spain","Female","Codes for special purposes: COVID-19",2021,43.7
"Spain","Female","Codes for special purposes: COVID-19",2020,86.9
"Sweden","Male","Codes for special purposes: COVID-19",2022,36.7
"Sweden","Male","Codes for special purposes: COVID-19",2021,56.1
"Sweden","Male","Codes for special purposes: COVID-19",2020,96.6
"Sweden","Total","Codes for special purposes: COVID-19",2022,26.6
"Sweden","Total","Codes for special purposes: COVID-19",2021,41.6
"Sweden","Total","Codes for special purposes: COVID-19",2020,74.8
"Sweden","Female","Codes for special purposes: COVID-19",2022,19.2
"Sweden","Female","Codes for special purposes: COVID-19",2021,30
"Sweden","Female","Codes for special purposes: COVID-19",2020,58
"Switzerland","Total","Codes for special purposes: COVID-19",2021,55.4
"Switzerland","Total","Codes for special purposes: COVID-19",2020,86.8
"Switzerland","Male","Codes for special purposes: COVID-19",2021,72.1
"Switzerland","Male","Codes for special purposes: COVID-19",2020,116.2
"Switzerland","Female","Codes for special purposes: COVID-19",2021,42.7
"Switzerland","Female","Codes for special purposes: COVID-19",2020,66.1
"United Kingdom","Female","Codes for special purposes: COVID-19",2020,80.7
"United Kingdom","Total","Codes for special purposes: COVID-19",2020,104.6
"United Kingdom","Male","Codes for special purposes: COVID-19",2020,135.2
"United States","Total","Codes for special purposes: COVID-19",2021,126.2
"United States","Total","Codes for special purposes: COVID-19",2020,108.6
"United States","Female","Codes for special purposes: COVID-19",2021,98.5
"United States","Female","Codes for special purposes: COVID-19",2020,85
"United States","Male","Codes for special purposes: COVID-19",2021,160.9
